[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /signup                   --> github.com/samdyra/go-geo/internal/api/user.(*Handler).SignUp-fm (4 handlers)
[GIN-debug] POST   /signin                   --> github.com/samdyra/go-geo/internal/api/user.(*Handler).SignIn-fm (4 handlers)
[GIN-debug] POST   /logout                   --> github.com/samdyra/go-geo/internal/api/user.(*Handler).Logout-fm (4 handlers)
[GIN-debug] GET    /articles                 --> github.com/samdyra/go-geo/internal/api/article.(*ArticleHandler).GetArticles-fm (4 handlers)
[GIN-debug] GET    /articles/:id             --> github.com/samdyra/go-geo/internal/api/article.(*ArticleHandler).GetArticle-fm (4 handlers)
[GIN-debug] GET    /mvt/:table_name/:z/:x/:y --> github.com/samdyra/go-geo/internal/api/mvt.(*MVTHandler).GetMVT-fm (4 handlers)
[GIN-debug] GET    /geojson/:table_name      --> github.com/samdyra/go-geo/internal/api/geojson.(*GeoJSONHandler).GetGeoJSON-fm (4 handlers)
[GIN-debug] GET    /layer-groups             --> github.com/samdyra/go-geo/internal/api/layergroup.(*Handler).GetGroupsWithLayers-fm (4 handlers)
[GIN-debug] GET    /layers                   --> github.com/samdyra/go-geo/internal/api/layer.(*Handler).GetFormattedLayers-fm (4 handlers)
[GIN-debug] POST   /reports                  --> github.com/samdyra/go-geo/internal/api/report.(*ReportHandler).CreateReport-fm (4 handlers)
[GIN-debug] GET    /reports                  --> github.com/samdyra/go-geo/internal/api/report.(*ReportHandler).GetReports-fm (4 handlers)
[GIN-debug] GET    /reports/:id              --> github.com/samdyra/go-geo/internal/api/report.(*ReportHandler).GetReport-fm (4 handlers)
[GIN-debug] POST   /articles                 --> github.com/samdyra/go-geo/internal/api/article.(*ArticleHandler).CreateArticle-fm (5 handlers)
[GIN-debug] PUT    /articles/:id             --> github.com/samdyra/go-geo/internal/api/article.(*ArticleHandler).UpdateArticle-fm (5 handlers)
[GIN-debug] DELETE /articles/:id             --> github.com/samdyra/go-geo/internal/api/article.(*ArticleHandler).DeleteArticle-fm (5 handlers)
[GIN-debug] POST   /spatial-data             --> github.com/samdyra/go-geo/internal/api/spatialdata.(*SpatialDataHandler).CreateSpatialData-fm (5 handlers)
[GIN-debug] DELETE /spatial-data/:table_name --> github.com/samdyra/go-geo/internal/api/spatialdata.(*SpatialDataHandler).DeleteSpatialData-fm (5 handlers)
[GIN-debug] PUT    /spatial-data/:table_name --> github.com/samdyra/go-geo/internal/api/spatialdata.(*SpatialDataHandler).EditSpatialData-fm (5 handlers)
[GIN-debug] GET    /spatial-data             --> github.com/samdyra/go-geo/internal/api/spatialdata.(*SpatialDataHandler).GetSpatialDataList-fm (5 handlers)
[GIN-debug] POST   /layers                   --> github.com/samdyra/go-geo/internal/api/layer.(*Handler).CreateLayer-fm (5 handlers)
[GIN-debug] PUT    /layers/:id               --> github.com/samdyra/go-geo/internal/api/layer.(*Handler).UpdateLayer-fm (5 handlers)
[GIN-debug] DELETE /layers/:id               --> github.com/samdyra/go-geo/internal/api/layer.(*Handler).DeleteLayer-fm (5 handlers)
[GIN-debug] POST   /layer-groups             --> github.com/samdyra/go-geo/internal/api/layergroup.(*Handler).CreateGroup-fm (5 handlers)
[GIN-debug] POST   /layer-groups/add-layer   --> github.com/samdyra/go-geo/internal/api/layergroup.(*Handler).AddLayerToGroup-fm (5 handlers)
[GIN-debug] DELETE /layer-groups/remove-layer --> github.com/samdyra/go-geo/internal/api/layergroup.(*Handler).RemoveLayerFromGroup-fm (5 handlers)
[GIN-debug] DELETE /layer-groups/:id         --> github.com/samdyra/go-geo/internal/api/layergroup.(*Handler).DeleteGroup-fm (5 handlers)
[GIN-debug] PUT    /reports/:id              --> github.com/samdyra/go-geo/internal/api/report.(*ReportHandler).UpdateReport-fm (5 handlers)
[GIN-debug] DELETE /reports/:id              --> github.com/samdyra/go-geo/internal/api/report.(*ReportHandler).DeleteReport-fm (5 handlers)
2024/11/18 12:10:44 Starting server on :5000
[GIN-debug] Listening and serving HTTP on :5000
[GIN] 2024/11/18 - 12:10:46 | 404 |       2.497µs |    36.72.61.205 | GET      "/"
[GIN] 2024/11/18 - 12:10:48 | 204 |      89.542µs |    36.72.61.205 | OPTIONS  "/layers?id=*"
[GIN] 2024/11/18 - 12:10:48 | 204 |      57.847µs |    36.72.61.205 | OPTIONS  "/spatial-data"
[GIN] 2024/11/18 - 12:10:48 | 200 |    1.940741ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:10:48 | 200 |    4.343583ms |    36.72.61.205 | GET      "/layers?id=*"
[GIN] 2024/11/18 - 12:10:48 | 204 |      15.118µs |    36.72.61.205 | OPTIONS  "/spatial-data"
[GIN] 2024/11/18 - 12:10:48 | 200 |     946.298µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:10:52 | 204 |      47.259µs |    36.72.61.205 | OPTIONS  "/layer-groups"
[GIN] 2024/11/18 - 12:10:52 | 204 |      69.189µs |    36.72.61.205 | OPTIONS  "/layers?id=*"
[GIN] 2024/11/18 - 12:10:52 | 200 |    1.218508ms |    36.72.61.205 | GET      "/layers?id=*"
[GIN] 2024/11/18 - 12:10:52 | 200 |     3.79614ms |    36.72.61.205 | GET      "/layer-groups"
[GIN] 2024/11/18 - 12:10:52 | 204 |       4.749µs |    36.72.61.205 | OPTIONS  "/spatial-data"
[GIN] 2024/11/18 - 12:10:52 | 200 |     565.432µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:10:52 | 204 |      15.136µs |    36.72.61.205 | OPTIONS  "/spatial-data"
[GIN] 2024/11/18 - 12:10:53 | 200 |     335.005µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:11:36 | 204 |      44.918µs |    36.72.61.205 | OPTIONS  "/spatial-data"
[GIN] 2024/11/18 - 12:11:36 | 200 |     524.041µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:12:49 | 204 |      48.397µs |    36.72.61.205 | OPTIONS  "/spatial-data"
[GIN] 2024/11/18 - 12:12:49 | 200 |     490.513µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:12:50 | 204 |       4.727µs |    36.72.61.205 | OPTIONS  "/spatial-data"
[GIN] 2024/11/18 - 12:12:50 | 200 |      326.73µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:18:04 | 204 |      49.875µs |    36.72.61.205 | OPTIONS  "/spatial-data"
[GIN] 2024/11/18 - 12:18:04 | 200 |    1.039919ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:18:07 | 204 |      26.443µs |    36.72.61.205 | OPTIONS  "/spatial-data"
[GIN] 2024/11/18 - 12:18:07 | 200 |     890.652µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:02 | 204 |      16.861µs |    36.72.61.205 | OPTIONS  "/spatial-data"
[GIN] 2024/11/18 - 12:24:02 | 200 |    3.939438ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:11 | 200 |    1.717875ms |    36.72.61.205 | GET      "/layer-groups"
[GIN] 2024/11/18 - 12:24:32 | 200 |    2.444248ms |    36.72.61.205 | GET      "/layer-groups"
[GIN] 2024/11/18 - 12:24:33 | 200 |    1.032629ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:34 | 200 |     377.064µs |    36.72.61.205 | GET      "/layers?id=*"
[GIN] 2024/11/18 - 12:24:34 | 200 |     1.45509ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:35 | 200 |    2.911405ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:36 | 200 |      864.43µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:36 | 200 |    2.287222ms |    36.72.61.205 | GET      "/layer-groups"
[GIN] 2024/11/18 - 12:24:37 | 200 |    1.838132ms |    36.72.61.205 | GET      "/reports"
[GIN] 2024/11/18 - 12:24:37 | 200 |    2.956563ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:38 | 200 |    3.119146ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:38 | 200 |     955.499µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:39 | 200 |     661.381µs |    36.72.61.205 | GET      "/layer-groups"
[GIN] 2024/11/18 - 12:24:40 | 200 |    3.334207ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:41 | 200 |    2.735466ms |    36.72.61.205 | GET      "/layer-groups"
[GIN] 2024/11/18 - 12:24:42 | 200 |    1.033372ms |    36.72.61.205 | GET      "/reports"
[GIN] 2024/11/18 - 12:24:42 | 200 |     625.077µs |    36.72.61.205 | GET      "/articles"
[GIN] 2024/11/18 - 12:24:43 | 200 |     434.774µs |    36.72.61.205 | GET      "/reports"
[GIN] 2024/11/18 - 12:24:48 | 200 |    2.530784ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:24:54 | 200 |    3.066384ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:25:08 | 200 |    2.885558ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:25:09 | 200 |    2.915487ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:26:19 | 200 |    2.906857ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:27:03 | 200 |    3.853797ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:28:18 | 200 |    2.947198ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:28:19 | 200 |    2.826387ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:28:59 | 200 |    2.878291ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:01 | 204 |       8.215µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bandung_barat___kota_cimahi"
[GIN] 2024/11/18 - 12:29:04 | 404 |  434.873653ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bandung_barat___kota_cimahi"
[GIN] 2024/11/18 - 12:29:04 | 200 |  2.288883058s |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bandung_barat___kota_cimahi"
[GIN] 2024/11/18 - 12:29:04 | 200 |    2.895288ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:05 | 204 |      15.098µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_majalengka___kabupaten_sumedang"
[GIN] 2024/11/18 - 12:29:05 | 200 |  267.992612ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_majalengka___kabupaten_sumedang"
[GIN] 2024/11/18 - 12:29:05 | 200 |     790.755µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:06 | 204 |      14.489µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_ciamis___kabupaten_tasikmalaya"
[GIN] 2024/11/18 - 12:29:07 | 200 |  219.155426ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_ciamis___kabupaten_tasikmalaya"
[GIN] 2024/11/18 - 12:29:07 | 200 |    2.816152ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:07 | 204 |      14.691µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bogor___kabupaten_karawang"
[GIN] 2024/11/18 - 12:29:08 | 200 |   57.854668ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bogor___kabupaten_karawang"
[GIN] 2024/11/18 - 12:29:08 | 200 |    2.948438ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:10 | 204 |      15.104µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_indramayu___kabupaten_subang"
